artist.gid,artist.name,artist.area
8972b1c1-6482-4750-b51f-596d2edea8b1,WIK▲N,
49add228-eac5-4de8-836c-d75cde7369c3,Pete Moutso,
c112a400-af49-4665-8bba-741531d962a1,Zachary,
ca3f3ee1-c4a7-4bac-a16a-0b888a396c6b,The Silhouettes,222
7b4a548e-a01a-49b7-82e7-b49efeb9732c,Aric Leavitt,
60aca66f-e91a-4cb5-9308-b6e293cd833e,Fonograff,
3e1bd546-d2a7-49cb-b38d-d70904a1d719,Al Street,222
df120895-f6c6-4a66-b9cf-73350f0beb61,Love .45,
c14f8d3f-ee81-416f-800f-8eff7e77a2e1,Sintellect,
b68a3969-319a-462f-942b-cd35581414fc,Evie Tamala,
2c8ae2e0-3934-440e-81f5-2ec7fd0d7899,Jean-Pierre Martin,
ac63d693-7b24-4258-a3db-09743b1b4269,Deejay One,
4c4b7c6f-9285-4d6a-bc10-e5c9e08045f8,wecamewithbrokenteeth,
055f435f-dba6-4156-9050-6ac41113e45f,The Blackbelt Band,
ab1b631b-9896-4433-bef9-7868bf8a42f3,Giant Tomo,
272fa507-8f9c-44a8-8b0e-acc6e9fab882,Decoding Jesus,
66de1369-f9eb-43cb-ae4f-88582a47a624,Elvin Jones & Jimmy Garrison Sextet,
424373ba-10fc-4883-bb33-af5a1977719b,Infester,
4929cfe2-69d9-421b-bf68-0aaa74214801,DJ Iglu & Hartly Dark,
e6895f6e-f636-4ff6-b406-f5ddaf6cb243,Diskobitch,
4eee2c60-c2c8-4b33-b14f-0eed4bf4d11a,Seanews,
302d69b6-4ed9-48ec-b6dd-1c70e765b327,CyberDog,
0a681531-3fd0-4f49-9cd9-c9e0dbc8dbf1,Serge Bec,
73a9e884-168b-4c52-8d41-6ca6b2d4744a,Thirteen Over Eight,
7a420d61-01bc-4dd9-bda8-da6512630946,Astolat,
0c1ad3d9-59f8-4d1d-baa6-713bae024367,The Insignificant,
294f4d52-ba2e-423f-99ef-1ebf5ff3116a,The Wanderers,221
e692f9c4-b3ee-4265-b2ae-6836966034fe,Andrew Greville,
cc9338e8-409e-4489-9e5e-847098812cc7,Project/Object,
646e7d73-5aec-4208-b568-5d804c53c736,Imagimusic,
3175ff46-8e09-4562-ace2-0e557e0fff42,Disappointment Incorporated,
bc81d56d-4f7c-47ab-9731-14830c766f5d,Bruno Macedo,
872a1247-c0d8-4970-b608-6752db0e532b,Stereobate,
a878853c-8eef-41fc-b6a4-5b7719a90b7d,FS,
b8bec4c5-b049-4ea7-874f-0ef9c712803a,Jumbo Jets,
7954c019-d253-4a7a-8e4c-0663678e26ee,Gloria Deluxe,
ac397e3f-cacd-4afd-a67e-5e220a69847b,Q Text,
9f0cc6e3-6a1c-4e6e-bd86-8c8129c84ca9,Blasco,
7366e2ae-f370-49cf-8504-734616bbe584,DJ Reverend,
ffb8763a-9a27-4aa0-b39b-6a0d2fb8725e,Current,
5c658f3c-0949-4222-b01b-588b7b20a596,Allison Williams,
1c2d8a03-9a9f-4424-be44-61fd5634ea1d,We Barbarians,
118ef670-ea6a-4bfe-95a0-6a1f1691b7e7,Dr. I-Bolit,176
ca4f10ac-cd8d-44b5-8013-5eb16c12e00a,大倉芳郎,
7c2c1a99-8afb-4760-8d9d-d3825d275977,Peacemaker,
a9cb07e3-d55d-403e-8ab7-9a277061b782,Softys,
e8d94cf5-fafa-48fc-a6fa-aa50cf54d7f3,Talkshow Boy,
71bb5703-f7eb-49c5-bd19-8d6ad6a5ba7e,John Bertrand,
291c184b-7e55-4bcd-a444-3addc7d24786,David Soames,
56269ecd-c35f-455d-a415-8ea34df76006,George Gao,44
b10bc0eb-4571-444c-bb76-a61203bdc323,José Souc,
3332fbe1-8698-4155-99cd-8593a1b6264f,Mike 7,
bc93e85d-bd43-4629-b42a-e33e8fd1513c,Greg Sczebel,
b4f76788-7e6f-41b7-ac7b-dfb67f66282e,Gustav Ruppke,
9cfdbd13-a1cc-4405-881b-cdbf98984c79,Sling Ting,
2a8539d7-11c6-4031-98ce-dc896f7ff218,Antonym,
c42eed94-e233-44e2-82b8-3ed6dd9bf318,The High Level Ranters,
d2be34c7-d37f-442f-b253-90b08968496a,The Faith,
1b6c18e8-b33b-4f5e-9f04-57691615cc66,No Water,
9047f366-3560-40d5-bbcc-fba04118737d,Nodesha,
c376f720-4f7f-4827-b1b7-0e2e514ffd10,Creature Box,
7a90cd6e-0e05-46b5-8296-4ae51293fba6,Phluid,
e2ed6caf-ce2a-4609-92e9-a691870287f8,Sebapola,
7e363e70-cfd4-4d7d-9192-709388b6c102,Dennis Matthews,221
3b6b634f-d80e-4ee0-b9b1-6c59f5c75fb7,Marina Phillips,
fbcfc1e2-2bd9-4ec2-b6e7-b12422d00491,Drums & Tuba,222
fd65aae1-722e-46ed-b2e4-098611a7822d,Vertebrats,222
154039ae-9b52-42ab-ae07-2ed14cffd482,Wieland Samolak,81
9502f3a4-c3d6-4f8f-9ac5-a2bdb9e9eeb1,Alexander Purkart,81
977336a2-40d3-4c0c-9c5e-14a675cfde72,Susan Enan,221
8a959853-661b-421a-8768-2d84517859eb,Teresa Catalán,194
f01b0f0f-cdb7-4566-8934-b0238d002b70,Rezerwat,170
be288db6-1044-419b-8eb2-76f3c21f2cda,The Jah Boyz,
8e691ef5-bd48-4fa9-8452-124d0a808048,Champale,222
9e4d7439-62d2-409b-b1b0-5562f64e5dd9,Certified Ryders,222
2c2cc9c5-12f2-45e7-8377-c9463fc496b3,Ludwig Wicki,
ba1b8583-ae98-4801-be0d-885542a90127,MaUVe,
00e0a61b-c7fa-4136-a4e9-b8dbc40d68c0,The Willows,222
bced5b4d-7e55-49c1-914f-97c82fa772db,DJ René,
5e88c5c8-2ceb-4ebb-a058-b53d0eb500d0,Spacemaker,
53bf0754-93b7-44ed-b045-efa38ff72517,Cofer Brothers,
e2462afa-bea0-4de7-8712-3247726d0cd8,Thomas Selditz,81
7fccd2b4-536a-4f2a-b8ad-549faebb59b0,Lee Brothers,222
e44dd7cd-1733-49b0-81b6-784a73aee61c,Laurie Klein,
35f0cf24-cb9c-4d41-8ed0-380269bb17cd,Ilse,138
21c86aab-dbe8-4652-9911-bfb775f735db,Hispana Hombres,
6c2253b1-702b-412b-82e0-bd1d990f8f0d,Brotherly,
5b8e5bb8-97d1-43a5-a847-3179d4134aa0,Kak,
cf59b498-a524-4b0e-a5f6-7869af0d02af,Linda Grinder,
fa1f878d-0903-447b-a896-d0870a0ba1fe,Grits,
233ed0ef-11ff-4381-ab85-27c0a20ad5fb,Sun Wenyan,
4ff7e65a-63bc-403a-a941-24e5d0edd9a8,Nico ALLSTARS,
31ea4a9e-8e1a-4062-adb0-167a544701a9,Dorian Baker,
4d4ddaa9-4325-4634-b94a-e7e97a760d3d,Enrico Ceravolo,
0ff93855-6533-428d-ab66-cc33b89ed32e,Macho Cat Garage,
6ad97cf1-923c-4dd1-a308-efa57e88144f,Fisher Hindley,
ef877772-5af1-4ff2-bbf7-ae626b63427d,NearMiss,
169b86e9-bb42-4cf0-9cd7-5d40054fa33e,Triality,
874ef01a-64ec-4a21-89c8-fa7e20be3455,Paul Bennet,
7a769c59-ee48-42eb-a9d5-9f18f6fc1860,Sylverblue,
