release_group.gid,release_group.name
df421254-b988-4ce0-b76a-21b58cdac421,MODUL▲R WITCHCR▲FT EP
9f32e416-2dfb-4fed-9251-e4bd557b99c5,ILLEG▲L GR▲VE MUSIC EP
19d72829-88fa-3d47-b750-4e9960989728,The Silhouettes Get A Job
4f58023c-03d3-4ff2-bde7-a7b010c43648,Get a Job / I Am Lonely
8515fa23-8d95-3409-a1f5-4725d2fadd0e,The Seattle Sessions E.P.
27fad6d8-6d09-4ca7-83b8-361404583245,Love.45
fec2bf12-4b18-37d0-9a7f-c16a5fe162c6,Love .45
da11ad9f-93cb-35b8-9d1c-40ac707fc65f,We're All Damaged
86157b5c-931a-34ab-8364-a89c24578ec3,Getar Suara Hati
51fb870d-d774-4ae6-a046-b526e51c3127,Electronic Parade
c23a8b46-20de-4c4c-a80f-cd285c2664d4,"Guitars & Company, Volume 2"
1502d09f-71f6-4838-8b88-97af896936e7,"Guitars & Company, Volume 3"
23f75571-66d9-4a00-a9b6-0c006d774f5d,"100% Guitare, Volume 3"
ba7321da-9091-4e36-9181-047adc3ffc19,100 % Guitare
d471914b-dd3a-4220-b8e3-ae7d66b8ddcc,"100 % Guitare, Volume 2"
1e0f5035-df87-3e3b-823b-5ec8e2c972b1,"We're Packing, Are You?"
e20b4e81-daee-3baf-ba05-de2b9ccb3d14,Illumination!
caca3590-c63b-3bd9-91f2-fee377a52463,"To the Depths, in Degradation"
b6c579e7-e400-3b9d-b34c-1dd40f8658d2,Endless Circles
5f2bf2de-c154-3c0a-8fcf-2da27472c625,"Love, Glory and Beauty"
5cfa84bd-296f-3f5e-9490-5960d27eb912,Acceleration Generation
87cf26bb-ba30-4b3d-b936-3cd51c2c3e27,Tresors D'occitanie : Serge Bec
9eb51829-9f9e-488c-9479-8437e6a6fe36,Thirteen Over Eight
1ceb771e-892b-4d7b-8ea3-98cdc76ffd92,The Faceless Mask
6b4ee424-76ef-4ff9-b49e-6d370a824337,Aokigahara
c558ed56-9c2a-45f4-9957-53c67b95ca99,Bang Bang
7dc3fda2-66dd-3a6c-9d16-b6bc64b22ebb,Absolutely Live
