recording.group,release_group.gid
8a33ef19-5d2b-42d9-927f-6f1e898e1fb3,df421254-b988-4ce0-b76a-21b58cdac421
88004ed1-7414-42c7-b625-3396b3dec983,df421254-b988-4ce0-b76a-21b58cdac421
093a1cf4-09ef-4b1f-b184-533a3ae1577a,9f32e416-2dfb-4fed-9251-e4bd557b99c5
a90e5bc8-73df-4369-b4f6-7649b9784aa2,9f32e416-2dfb-4fed-9251-e4bd557b99c5
3d6e4e87-028d-4016-83ec-9632c2ee759a,9f32e416-2dfb-4fed-9251-e4bd557b99c5
67925e65-23f6-4dca-8829-ff0f8fbf6902,9f32e416-2dfb-4fed-9251-e4bd557b99c5
96c59bfd-cc6e-43dd-89d4-13e519d16a39,df421254-b988-4ce0-b76a-21b58cdac421
25ad1cbd-fb6e-4d02-9a0d-fa3923fc7dff,df421254-b988-4ce0-b76a-21b58cdac421
db9dfe44-a0ee-4c2d-9f2f-e59d7d3bf2ba,d611b2ec-4f80-3b88-a45d-0079d1c53c7d
cee56381-268a-492f-a401-7c47e04f0a13,a0db79d4-ce96-364f-bd33-75937ad80313
66eb0750-2646-457c-a545-8738942b908e,0424e6f5-528d-4b31-9e1d-81de7c9dfd5d
66eb0750-2646-457c-a545-8738942b908e,abb6e096-8a54-4f12-9c21-e287d509a224
8765535b-a38d-4ab8-8379-7f766addee3b,280fbbf3-717d-4121-ad02-16685c6b1fa3
66eb0750-2646-457c-a545-8738942b908e,55c2f4fd-4b84-4b40-9637-3ade82a2c4b0
c9e25757-91e3-40f3-9769-a8983aa0abab,19d72829-88fa-3d47-b750-4e9960989728
66eb0750-2646-457c-a545-8738942b908e,a3746466-661d-4c2c-807c-93ef4bc997d5
66eb0750-2646-457c-a545-8738942b908e,c4c67e2e-946e-3039-8471-79a4a6c68d54
66eb0750-2646-457c-a545-8738942b908e,1764019f-9943-41d7-892a-3c0ec5fd94da
66eb0750-2646-457c-a545-8738942b908e,c4c317ac-c724-4a0c-a7a5-7cabfa64e898
214eb5a7-19f7-466c-97af-b78ac2ab1457,19d72829-88fa-3d47-b750-4e9960989728
75307bd7-fbe0-4aac-bc58-2b7bc03d440f,19d72829-88fa-3d47-b750-4e9960989728
a62566be-5b97-4771-b98c-e9bf6d336fa8,19d72829-88fa-3d47-b750-4e9960989728
8bdca10c-2ebe-40e6-8555-83edaaf06cd8,19d72829-88fa-3d47-b750-4e9960989728
66eb0750-2646-457c-a545-8738942b908e,d8ac294f-2243-3d1c-a8d3-cc12c66e8141
66eb0750-2646-457c-a545-8738942b908e,af39cad1-6013-30c7-95ad-2c64a944b2f5
66eb0750-2646-457c-a545-8738942b908e,12f59dfa-1ce7-39ef-8014-b8b0e30d4828
66eb0750-2646-457c-a545-8738942b908e,b13794a4-ad3a-39ad-95d3-98f8b60c289a
66eb0750-2646-457c-a545-8738942b908e,b0852158-54c8-39d9-8a89-971bdeb44c4a
66eb0750-2646-457c-a545-8738942b908e,ad19e6b6-3c02-33f6-9dd2-7bde680e8b75
66eb0750-2646-457c-a545-8738942b908e,6de65b50-7190-307c-9e1c-0a55accde1fe
66eb0750-2646-457c-a545-8738942b908e,094ad1d0-3a1c-4fb9-919a-4b30080eafb2
66eb0750-2646-457c-a545-8738942b908e,728287b5-20a2-43f7-b26e-c3140c89dd40
66eb0750-2646-457c-a545-8738942b908e,14115ce6-fb5a-4d54-8c7f-c5fb1e23f387
66eb0750-2646-457c-a545-8738942b908e,33e79785-2509-4d5a-8787-9f7770000f1e
66eb0750-2646-457c-a545-8738942b908e,adb4366a-d2ef-4623-bbf7-74addbe8b3bf
66eb0750-2646-457c-a545-8738942b908e,61c9a1f7-1ea9-45d4-b264-c499005609b6
66eb0750-2646-457c-a545-8738942b908e,0cc4f4f2-3bd9-4b53-ae46-f0db557a1132
a653f9b4-c2ce-46a4-95d0-d6392a03fc34,19d72829-88fa-3d47-b750-4e9960989728
4d866555-282a-495b-b60b-acce62514e9d,19d72829-88fa-3d47-b750-4e9960989728
f71c0d82-e9a5-4b79-bab3-14e0cec3ec15,3b286ac1-3269-3710-92bb-afa26c757f50
